# Running on nid01410
# DAINT config selected
# There are 2 sockets, 2 NUMA domains, 36 cores, 72 pus
# NB. to kill spawned tasks try 
# for a in {1..100}; do psu -lf | grep future_overhead_test | awk '{print $4}' | xargs kill -9 ; done

# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.488035, 0.976071,  local-priority-lifo,    0,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.501328, 1.002656,  local-priority-lifo,    0,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.488636, 0.977272,  local-priority-lifo,    0,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.702138, 1.404276,  local-priority-lifo,    0,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.617027, 1.234054,  local-priority-lifo,    0,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.617293, 1.234587,  local-priority-lifo,    0,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.608285, 1.216571,  local-priority-lifo,    0,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.575241, 1.150482,  local-priority-lifo,    0,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.568561, 1.137122,  local-priority-lifo,    0,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.503173, 1.006345,  local-priority-lifo,    0,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.485634, 0.971269,  local-priority-lifo,    0,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.710325, 1.420650,  local-priority-lifo,    0,    1,                 none
500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.806749, 1.613499,  local-priority-lifo,    0,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=static --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.501129, 1.002257,               static,    1,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.487430, 0.974860,               static,    1,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.467017, 0.934034,               static,    1,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.701997, 1.403994,               static,    1,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.613894, 1.227788,               static,    1,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.615563, 1.231125,               static,    1,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.611884, 1.223769,               static,    1,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.569776, 1.139552,               static,    1,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.567206, 1.134411,               static,    1,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.470923, 0.941846,               static,    1,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.462016, 0.924033,               static,    1,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.548351, 1.096702,               static,    1,    1,                 none
500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.544026, 1.088052,               static,    1,    1,                 none
500000,                    for_loop,             par,  parallel_executor, 0.876900, 1.753799,               static,    1,    1,                 none
500000,                    for_loop,             par, parallel_executor_aggregated, 0.768362, 1.536723,               static,    1,    1,                 none
500000,                    for_loop,             par, thread_pool_executor, 0.741203, 1.482406,               static,    1,    1,                 none
500000,                    for_loop,             par, thread_pool_executor_nostack, 0.552744, 1.105489,               static,    1,    1,                 none
500000,               register_work,           latch,               none, 0.558645, 1.117290,               static,    1,    1,                 none
500000,               create_thread,           latch,               none, 0.560174, 1.120348,               static,    1,    1,                 none
500000,          apply_hierarchical,           latch,  parallel_executor, 0.555650, 1.111299,               static,    1,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=static   --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.499388, 0.998777,               static,    0,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.476653, 0.953306,               static,    0,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.465028, 0.930057,               static,    0,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.696311, 1.392621,               static,    0,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.611586, 1.223172,               static,    0,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.615503, 1.231006,               static,    0,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.609304, 1.218608,               static,    0,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.567800, 1.135601,               static,    0,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.564431, 1.128862,               static,    0,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.469505, 0.939010,               static,    0,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.459763, 0.919525,               static,    0,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.545007, 1.090015,               static,    0,    1,                 none
