# Running on nid01266
# DAINT config selected
# There are 2 sockets, 2 NUMA domains, 36 cores, 72 pus
# NB. to kill spawned tasks try 
# for a in {1..100}; do psu -lf | grep future_overhead_test | awk '{print $4}' | xargs kill -9 ; done

# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,  create_thread_hierarchical,           latch,               none, 0.126307, 0.252615,                local,    1,    8,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local   --hpx:threads=8 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.140147, 0.280294,                local,    0,    8,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.127663, 0.255327,                local,    0,    8,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=9 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.134575, 0.269150,      shared-priority,    1,    9,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.724381, 1.448761,      shared-priority,    1,    9,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority   --hpx:threads=9 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.136550, 0.273100,      shared-priority,    0,    9,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.699354, 1.398708,      shared-priority,    0,    9,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local --hpx:numa-sensitive --hpx:threads=9 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.136991, 0.273982,                local,    1,    9,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.125429, 0.250858,                local,    1,    9,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local   --hpx:threads=9 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.128825, 0.257649,                local,    0,    9,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.139364, 0.278729,                local,    0,    9,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=10 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.136959, 0.273919,      shared-priority,    1,   10,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.649948, 1.299895,      shared-priority,    1,   10,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority   --hpx:threads=10 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.143814, 0.287628,      shared-priority,    0,   10,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.884332, 1.768664,      shared-priority,    0,   10,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local --hpx:numa-sensitive --hpx:threads=10 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.119764, 0.239529,                local,    1,   10,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.145927, 0.291855,                local,    1,   10,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local   --hpx:threads=10 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.119553, 0.239106,                local,    0,   10,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.152147, 0.304294,                local,    0,   10,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=11 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.117127, 0.234254,      shared-priority,    1,   11,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.792751, 1.585502,      shared-priority,    1,   11,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority   --hpx:threads=11 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.120028, 0.240055,      shared-priority,    0,   11,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.842127, 1.684253,      shared-priority,    0,   11,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local --hpx:numa-sensitive --hpx:threads=11 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.118693, 0.237386,                local,    1,   11,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.154132, 0.308264,                local,    1,   11,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local   --hpx:threads=11 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.124991, 0.249983,                local,    0,   11,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.138360, 0.276720,                local,    0,   11,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=12 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.117076, 0.234151,      shared-priority,    1,   12,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.690052, 1.380104,      shared-priority,    1,   12,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority   --hpx:threads=12 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.131086, 0.262172,      shared-priority,    0,   12,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.683648, 1.367295,      shared-priority,    0,   12,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local --hpx:numa-sensitive --hpx:threads=12 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.111615, 0.223230,                local,    1,   12,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.163962, 0.327924,                local,    1,   12,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local   --hpx:threads=12 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.121148, 0.242296,                local,    0,   12,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.138495, 0.276990,                local,    0,   12,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=13 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.118462, 0.236923,      shared-priority,    1,   13,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.765665, 1.531329,      shared-priority,    1,   13,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority   --hpx:threads=13 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.118094, 0.236189,      shared-priority,    0,   13,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.718194, 1.436388,      shared-priority,    0,   13,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local --hpx:numa-sensitive --hpx:threads=13 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.114771, 0.229543,                local,    1,   13,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.152820, 0.305640,                local,    1,   13,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local   --hpx:threads=13 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.111293, 0.222585,                local,    0,   13,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.162337, 0.324673,                local,    0,   13,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=14 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.134819, 0.269639,      shared-priority,    1,   14,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.691842, 1.383685,      shared-priority,    1,   14,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority   --hpx:threads=14 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.128902, 0.257803,      shared-priority,    0,   14,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.678282, 1.356564,      shared-priority,    0,   14,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local --hpx:numa-sensitive --hpx:threads=14 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.114852, 0.229704,                local,    1,   14,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.158230, 0.316460,                local,    1,   14,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=local   --hpx:threads=14 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.111466, 0.222931,                local,    0,   14,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.156705, 0.313410,                local,    0,   14,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=15 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.126593, 0.253187,      shared-priority,    1,   15,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.641425, 1.282849,      shared-priority,    1,   15,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority   --hpx:threads=15 --hpx:bind=balanced --csv --info=none

